"GA0518_YAP_KO_D_1" "GA0518_YAP_KO_D_2" "GA0518_untreated_1" "GA0518_untreated_2" "GA0518_VT_200_1" "GA0518_VT_200_2"
"ENSG00000000003.15" 539.034 528.462 1682.439 1861.834 119 118
"ENSG00000000005.6" 0 0 0 0 0 0
"ENSG00000000419.14" 2543.273 2769.858 1136.789 1294.498 1187.123 1162.025
"ENSG00000000457.14" 160.544 163.427 243.128 261.251 222.902 136.689
"ENSG00000000460.17" 563.4 539.972 1134.349 1351.871 532.241 573.248
"ENSG00000000938.13" 0 0 0 0 0 0
"ENSG00000000971.16" 0 0 7 18.388 0 0
"ENSG00000001036.14" 3778.911 3868.273 4422.287 4875.216 3900.222 3694.005
"ENSG00000001084.13" 1705.763 1886.262 1168.846 1337.334 3355.919 3459.463
"ENSG00000001167.15" 1059.589 1027.717 860.24 907.532 1634.75 1728.919
"ENSG00000001460.18" 314.386 293.333 150.227 189.951 520.543 528.424
"ENSG00000001461.17" 643.542 747.841 529.85 608.274 1954.715 1852.153
"ENSG00000001497.18" 1504.229 1689.896 1369.185 1519.079 1813.666 1655.981
"ENSG00000001561.7" 90.065 163.115 293.093 416.31 117.082 114.138
"ENSG00000001617.12" 521.337 481.628 952.154 1072.698 928.246 976.59
"ENSG00000001626.16" 0 0 272.035 255.221 0 0
"ENSG00000001629.10" 795.597 930.322 1620.029 1754.404 2211.691 2129.448
"ENSG00000001630.17" 3442.741 3836.261 2671.348 3093.243 2906.082 2786.507
"ENSG00000001631.16" 596.598 554.621 532.639 719.822 746.971 836.283
"ENSG00000002016.18" 226.091 276.143 181.247 189.75 264.292 223.039
"ENSG00000002079.14" 0 0 10 2 33 39
"ENSG00000002330.14" 558.607 454.893 323.891 334.78 429.094 444.397
"ENSG00000002549.13" 1791.575 2041.485 1621.12 1777.576 1990.267 2165.758
"ENSG00000002586.20" 7008.062 6667.323 4130.828 4361.858 3117.254 3043.862
"ENSG00000002587.10" 326.178 340.26 178.181 198.261 158.129 149.397
"ENSG00000002726.21" 0 0 3 2 0 0
"ENSG00000002745.13" 7 3 3 3 1 3
"ENSG00000002746.15" 4 1 7 16 10 3
"ENSG00000002822.16" 405.803 436.407 558.067 560.792 1752.682 1834.684
"ENSG00000002834.18" 13106.368 13747.205 8100.415 8935.526 8222.635 8538.728
"ENSG00000002919.15" 831.879 759.579 367.727 381.912 527.012 547.698
"ENSG00000002933.9" 0 0 0 0 0 0
"ENSG00000003056.8" 3911.858 4329.872 4323.223 4866.184 6119.882 6551.942
"ENSG00000003096.14" 17 24 0 0 3 4
"ENSG00000003137.9" 22 37 22 25 92 94.77
"ENSG00000003147.19" 29.864 28 491.11 631.659 43.009 50.794
"ENSG00000003249.15" 335.196 309.314 1821.981 1903.854 52.05 70.295
"ENSG00000003393.16" 1973.801 2108.835 957.754 979.687 2673.614 2853.033
"ENSG00000003400.15" 2 4 343.082 356.311 0 2
"ENSG00000003402.20" 1909.233 2205.996 803.557 935.149 2096.639 2083.82
"ENSG00000003436.16" 5 0 188.063 215.497 3 1
"ENSG00000003509.16" 336.144 377.847 217.272 285.375 299.868 341.7
"ENSG00000003756.17" 1377.913 1289.423 1425.822 1503.108 1582.645 1489.248
"ENSG00000003987.14" 13.615 19.161 7.207 6.724 25.854 96.097
"ENSG00000003989.18" 409.609 403.013 265.04 312.009 155.376 190.537
"ENSG00000004059.11" 2261.107 2422.624 2025.846 2301.595 1473.354 1445.507
"ENSG00000004139.14" 2.312 0 83.973 112.269 9.873 0
"ENSG00000004142.12" 4398.383 4619.653 3937.487 4281.703 3013.017 3079.891
"ENSG00000004399.13" 2380.252 2432.732 0 2 5409.472 6069.024
"ENSG00000004455.17" 9261.825 9172.916 3351.177 3595.692 3888.362 3646.207
"ENSG00000004468.13" 0 0 1 1 0 0
"ENSG00000004478.8" 10546.62 10614.551 6914.979 7667.763 5734.205 5601.871
"ENSG00000004487.17" 4742.211 4660.943 3825.311 4317.523 3363.181 3207.392
"ENSG00000004534.15" 926.445 788.043 1034.066 1251.474 1323.473 1270.651
"ENSG00000004660.15" 389.257 389.653 152.783 133.087 593.652 584.271
"ENSG00000004700.16" 2948.76 3230.697 784.319 951.043 2801.185 2747.942
"ENSG00000004766.17" 413.389 478.969 499.078 517.693 628.141 550.557
"ENSG00000004776.13" 0 0 1.417 0 8 4
"ENSG00000004777.18" 76.016 72.023 89.037 114.786 194.018 231.057
"ENSG00000004779.10" 4135.598 4032.637 1255.112 1605.558 1931.621 1833.303
"ENSG00000004799.8" 16 12 0 0 0 0
"ENSG00000004809.14" 2 3 0 0 0 0
"ENSG00000004838.14" 0 3 3 15 12 21
"ENSG00000004846.17" 0 0 0 0 0 0
"ENSG00000004848.8" 12 4 0 0 4 13
"ENSG00000004864.14" 820.209 895.191 1641.935 1856.189 1248.646 1351.356
"ENSG00000004866.22" 300.108 278.084 438.951 521.765 340.169 289.924
"ENSG00000004897.12" 4921.064 4978.751 2474.043 3053.543 4549.792 4464.842
"ENSG00000004939.16" 0 0 0 0 0 0
"ENSG00000004948.16" 0 0 0 0 0 0
"ENSG00000004961.15" 3292.641 3450.206 732.482 837.575 1914.301 1852.716
"ENSG00000004975.12" 1131.575 1105.978 991.516 1180.485 1444.377 1574.963
"ENSG00000005001.10" 0 0 306.058 402.24 0 0
"ENSG00000005007.13" 1726.585 2132.755 3697.84 4127.258 4111.713 4142.371
"ENSG00000005020.13" 160.687 153.467 296.293 384.37 148 167.407
"ENSG00000005022.6" 23867.516 25438.126 12349.613 13772.232 8762.857 8782.474
"ENSG00000005059.16" 1941.237 2126.058 646.763 725.786 1573.274 1510.843
"ENSG00000005073.6" 0 0 0 0 0 0
"ENSG00000005075.15" 1558.755 1503.596 993.929 1088.147 1231.283 1241.813
"ENSG00000005100.13" 1586.253 1610.782 1821.16 1968.811 2571.731 2664.723
"ENSG00000005102.14" 1 4.021 0 0 0 2
"ENSG00000005108.16" 0 0 0 0 0 0
"ENSG00000005156.12" 779.251 871.351 980.661 1024.48 898.871 774.615
"ENSG00000005175.10" 1241.996 1056.042 1009.091 1111.55 1036.785 1044.065
"ENSG00000005187.12" 0 0 58.494 68.005 0 0
"ENSG00000005189.20" 237.826 286.717 91.975 81.999 298.886 285.172
"ENSG00000005194.15" 2752.361 2698.775 1501.448 1600.046 1588.065 1608.726
"ENSG00000005206.17" 171.999 158.111 648.478 652.85 620.065 588.291
